name,type,novel,bases,community,degree,betweenness,planet
Тележки,onym,Туманность Андромеды,1,472,0.0005896226415094339,0.0,Нейтр/Космос
Ловко,onym,Туманность Андромеды,1,472,0.0005896226415094339,0.0,Нейтр/Космос
Ден,onym,Туманность Андромеды,1,473,0.0011792452830188679,0.0,Нейтр/Космос
Куль,onym,Туманность Андромеды,1,473,0.0011792452830188679,0.0,Нейтр/Космос
Убежище,onym,Туманность Андромеды,1,473,0.0011792452830188679,0.0,Нейтр/Космос
Воображение,onym,Туманность Андромеды,1,474,0.0005896226415094339,0.0,Нейтр/Космос
Чучела,onym,Туманность Андромеды,1,474,0.0005896226415094339,0.0,Нейтр/Космос
Модели,onym,Туманность Андромеды,1,475,0.0005896226415094339,0.0,Нейтр/Космос
Зал,onym,Туманность Андромеды,1,475,0.0011792452830188679,6.957199309845829e-07,Нейтр/Космос
Археологи,onym,Туманность Андромеды,1,475,0.0005896226415094339,0.0,Нейтр/Космос
Сотнями,onym,Туманность Андромеды,1,476,0.0,0.0,Нейтр/Космос
Столб,onym,Туманность Андромеды,1,477,0.0,0.0,Нейтр/Космос
Жизнь,onym,Сердце Змеи,1,214,0.004127358490566038,7.799793448482706e-05,Нейтр/Космос
Отказ,onym,Туманность Андромеды,1,478,0.0,0.0,Нейтр/Космос
Наследница,onym,Туманность Андромеды,1,479,0.0,0.0,Нейтр/Космос
Спуск,onym,Туманность Андромеды,1,480,0.0005896226415094339,0.0,Нейтр/Космос
Глыбы,onym,Туманность Андромеды,1,480,0.0005896226415094339,0.0,Нейтр/Космос
Запор,onym,Туманность Андромеды,1,481,0.0,0.0,Нейтр/Космос
Механизмы,onym,Туманность Андромеды,1,482,0.0,0.0,Нейтр/Космос
Чертежи,onym,Туманность Андромеды,1,483,0.0,0.0,Нейтр/Космос
Вооружение,onym,Туманность Андромеды,1,484,0.0,0.0,Нейтр/Космос
Нужность,onym,Туманность Андромеды,1,485,0.0,0.0,Нейтр/Космос
Индивидуалисты,onym,Туманность Андромеды,1,486,0.0,0.0,Нейтр/Космос
Рискнем,onym,Туманность Андромеды,1,487,0.0,0.0,Нейтр/Космос
Клубы,onym,Туманность Андромеды,1,488,0.0,0.0,Нейтр/Космос
Истории,onym,Час Быка,1,281,0.0011792452830188679,2.7828797239383316e-06,Нейтр/Космос
Комната,onym,Туманность Андромеды,1,281,0.0005896226415094339,0.0,Нейтр/Космос
Машина,onym,Час Быка,1,191,0.0029481132075471696,1.159533218307638e-07,Нейтр/Космос
Людой,onym,Туманность Андромеды,1,489,0.0011792452830188679,0.0,Нейтр/Космос
Фир,onym,Туманность Андромеды,1,489,0.0011792452830188679,0.0,Нейтр/Космос
Люде,onym,Туманность Андромеды,1,489,0.001768867924528302,1.3914398619691658e-06,Нейтр/Космос
Вызов,onym,Туманность Андромеды,1,489,0.0005896226415094339,0.0,Нейтр/Космос
Мозгу,onym,Туманность Андромеды,1,490,0.0011792452830188679,0.0,Нейтр/Космос
Определенности,onym,Туманность Андромеды,1,490,0.0011792452830188679,0.0,Нейтр/Космос
Данные,onym,Туманность Андромеды,1,490,0.001768867924528302,1.3914398619691658e-06,Нейтр/Космос
Мозг,onym,Туманность Андромеды,1,490,0.0005896226415094339,0.0,Нейтр/Космос
Устойчивость,onym,Туманность Андромеды,1,491,0.0,0.0,Нейтр/Космос
Страданьем,onym,Туманность Андромеды,1,492,0.0,0.0,Нейтр/Космос
Усилиями,onym,Туманность Андромеды,1,493,0.0,0.0,Нейтр/Космос
Сирт,onym,Туманность Андромеды,1,494,0.0,0.0,Нейтр/Космос
Свист,onym,Туманность Андромеды,1,495,0.0,0.0,Нейтр/Космос
Сахары,onym,Туманность Андромеды,1,496,0.0,0.0,Нейтр/Космос
Зеркала,onym,Туманность Андромеды,1,497,0.0023584905660377358,0.0,Нейтр/Космос
Круг,onym,Туманность Андромеды,1,497,0.0029481132075471696,1.7392998274614572e-07,Нейтр/Космос
Тинтажеля,onym,Туманность Андромеды,1,497,0.0029481132075471696,1.7392998274614572e-07,Нейтр/Космос
Эллипс,onym,Туманность Андромеды,1,497,0.0029481132075471696,1.7392998274614572e-07,Нейтр/Космос
Аэллы,onym,Туманность Андромеды,1,497,0.0029481132075471696,1.7392998274614572e-07,Нейтр/Космос
Пепел,onym,Туманность Андромеды,1,497,0.0023584905660377358,0.0,Нейтр/Космос
Ероша,onym,Туманность Андромеды,1,634,0.0005896226415094339,0.0,Нейтр/Космос
Сеть,onym,Час Быка,1,634,0.0011792452830188679,1.3914398619691658e-06,Нейтр/Космос
Миллионы,onym,Сердце Змеи,1,498,0.0047169811320754715,2.9463739077197093e-05,Нейтр/Космос
Многие,onym,Час Быка,1,498,0.0011792452830188679,1.1131518895753326e-05,Нейтр/Космос
Ценитель,onym,Туманность Андромеды,1,498,0.0005896226415094339,0.0,Нейтр/Космос
Корона,onym,Туманность Андромеды,1,499,0.0,0.0,Нейтр/Космос
Ахернара,onym,Туманность Андромеды,1,500,0.0,0.0,Нейтр/Космос
Лебедю,onym,Туманность Андромеды,1,501,0.0005896226415094339,0.0,Нейтр/Космос
Идя,onym,Туманность Андромеды,1,501,0.0005896226415094339,0.0,Нейтр/Космос
Космопорт,onym,Туманность Андромеды,1,502,0.0,0.0,Нейтр/Космос
Огонек,onym,Туманность Андромеды,1,503,0.0005896226415094339,0.0,Нейтр/Космос
Поток,onym,Туманность Андромеды,1,503,0.0005896226415094339,0.0,Нейтр/Космос
Разрыв,onym,Туманность Андромеды,1,504,0.0005896226415094339,0.0,Нейтр/Космос
Андромеде,onym,Туманность Андромеды,1,504,0.0005896226415094339,0.0,Нейтр/Космос
Равнина,onym,Туманность Андромеды,1,505,0.0,0.0,Нейтр/Космос
